epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2333.83,0.65225,1.33642,0.71347,1.10565,0.85817,0.80166,0.85064,0.73827,0.85358,0.79941,0.84109,0.72574,0.54008,1.56932,0.67261,1.06882,0.008086,0.008086,0.008086
31,2411.9,0.64977,1.33658,0.70416,1.1016,0.83239,0.77912,0.83233,0.72693,0.83817,0.77649,0.82884,0.71679,0.53181,1.57979,0.69612,1.06335,0.00802,0.00802,0.00802
32,2489.03,0.65979,1.35921,0.70235,1.10172,0.81788,0.79319,0.83653,0.72825,0.81207,0.78751,0.82656,0.72078,0.5341,1.5553,0.70679,1.06419,0.007954,0.007954,0.007954
33,2566.76,0.65107,1.37005,0.70249,1.10093,0.84178,0.79249,0.84635,0.74014,0.84423,0.77829,0.83403,0.72574,0.53236,1.5682,0.66693,1.06447,0.007888,0.007888,0.007888
34,2644.8,0.6436,1.34507,0.68963,1.0939,0.82096,0.78603,0.83642,0.73491,0.82077,0.78525,0.83282,0.72604,0.5263,1.5469,0.685,1.05325,0.007822,0.007822,0.007822
35,2725.26,0.65459,1.3535,0.68884,1.09207,0.84569,0.78892,0.84688,0.73854,0.84915,0.78675,0.83972,0.73103,0.51735,1.54429,0.65788,1.04847,0.007756,0.007756,0.007756
36,2803.09,0.63775,1.31704,0.65239,1.08383,0.8392,0.79734,0.84472,0.74357,0.83987,0.79749,0.84035,0.73342,0.51345,1.53453,0.66218,1.0448,0.00769,0.00769,0.00769
37,2880.62,0.64456,1.33562,0.65996,1.08129,0.84573,0.79252,0.84658,0.74306,0.84546,0.79231,0.84309,0.73203,0.51215,1.54391,0.65905,1.04002,0.007624,0.007624,0.007624
38,2958,0.64204,1.325,0.65579,1.08299,0.82577,0.80148,0.85064,0.74617,0.8229,0.79999,0.84451,0.73662,0.50503,1.53277,0.64632,1.03779,0.007558,0.007558,0.007558
39,3034.91,0.62313,1.29019,0.64128,1.07719,0.86619,0.80115,0.85737,0.7515,0.86796,0.80085,0.85197,0.74019,0.50349,1.52009,0.64008,1.03488,0.007492,0.007492,0.007492
