epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,10036.7,0.49111,1.05663,0.41303,0.97731,0.88275,0.82452,0.87059,0.78364,0.88039,0.8229,0.86397,0.77141,0.44036,1.43307,0.54534,0.96353,0.001618,0.001618,0.001618
129,10115.3,0.50103,1.0553,0.41974,0.97287,0.8831,0.82467,0.87064,0.78392,0.88066,0.82313,0.86412,0.77167,0.44019,1.43362,0.54516,0.96336,0.001552,0.001552,0.001552
130,10198.4,0.49878,1.07181,0.41628,0.97763,0.88292,0.82559,0.87087,0.78434,0.8803,0.82394,0.86426,0.77194,0.44011,1.43371,0.54466,0.96315,0.001486,0.001486,0.001486
131,10277.6,0.49894,1.06587,0.4162,0.97863,0.88336,0.8255,0.87104,0.78436,0.88096,0.82401,0.86457,0.77228,0.43958,1.43239,0.54452,0.96272,0.00142,0.00142,0.00142
132,10357.7,0.49584,1.06484,0.41412,0.97659,0.88377,0.82645,0.87137,0.78459,0.88137,0.82461,0.86456,0.77205,0.43926,1.43214,0.54393,0.96217,0.001354,0.001354,0.001354
133,10437.2,0.50163,1.05055,0.40914,0.97612,0.8856,0.82551,0.87149,0.7845,0.88123,0.82478,0.86454,0.77274,0.43903,1.43184,0.54329,0.96185,0.001288,0.001288,0.001288
134,10518.9,0.49859,1.06501,0.40757,0.97323,0.88661,0.82484,0.87162,0.78598,0.88405,0.8233,0.86456,0.77292,0.43871,1.43136,0.54313,0.96132,0.001222,0.001222,0.001222
135,10600.4,0.49476,1.04632,0.40246,0.96953,0.88679,0.82508,0.8722,0.78565,0.88358,0.82396,0.8652,0.77377,0.43862,1.43083,0.54251,0.96106,0.001156,0.001156,0.001156
136,10679.3,0.4867,1.0542,0.39697,0.96932,0.88669,0.82503,0.87222,0.78594,0.88408,0.82335,0.86518,0.77366,0.4384,1.431,0.5425,0.96078,0.00109,0.00109,0.00109
137,10759.2,0.49135,1.04911,0.39936,0.97467,0.88663,0.82541,0.87254,0.78658,0.88329,0.82402,0.86557,0.7749,0.43797,1.4301,0.54173,0.96048,0.001024,0.001024,0.001024
138,10838.6,0.48794,1.04278,0.39366,0.96814,0.88554,0.8266,0.87286,0.78711,0.88213,0.82479,0.86568,0.77451,0.43788,1.42861,0.54134,0.96024,0.000958,0.000958,0.000958
139,10919.9,0.49332,1.03664,0.39552,0.97327,0.88566,0.82716,0.87317,0.78786,0.88226,0.82535,0.86604,0.77457,0.43749,1.42817,0.5406,0.95997,0.000892,0.000892,0.000892
140,11000.3,0.48113,1.03001,0.39341,0.96683,0.88527,0.82647,0.87344,0.78798,0.88195,0.82471,0.86643,0.77504,0.43707,1.42749,0.54018,0.95961,0.000826,0.000826,0.000826
141,11078.5,0.43832,0.95741,0.35323,0.96023,0.88637,0.82625,0.87319,0.7884,0.88303,0.82449,0.86614,0.77424,0.43703,1.42723,0.54011,0.95957,0.00076,0.00076,0.00076
142,11154.4,0.42944,0.94106,0.33729,0.95114,0.88712,0.8261,0.87356,0.78859,0.88345,0.82403,0.86634,0.77455,0.43708,1.42538,0.5396,0.95958,0.000694,0.000694,0.000694
143,11229.3,0.42875,0.93816,0.33359,0.94933,0.88522,0.82757,0.87375,0.78965,0.88169,0.8253,0.86646,0.77463,0.43688,1.42582,0.53966,0.9594,0.000628,0.000628,0.000628
144,11303.7,0.43613,0.94113,0.34106,0.94959,0.88553,0.82778,0.87408,0.78907,0.882,0.82549,0.86687,0.77503,0.43658,1.42592,0.53921,0.95912,0.000562,0.000562,0.000562
145,11378.6,0.41739,0.91391,0.32587,0.94251,0.88545,0.8296,0.87376,0.78977,0.88197,0.82735,0.86663,0.77501,0.43642,1.42518,0.53858,0.95901,0.000496,0.000496,0.000496
146,11453.8,0.42364,0.92994,0.32516,0.94312,0.88632,0.8296,0.87372,0.78986,0.88568,0.82564,0.86682,0.77487,0.43608,1.42502,0.53769,0.95868,0.00043,0.00043,0.00043
147,11528.9,0.42163,0.91236,0.32495,0.94741,0.88303,0.83104,0.87384,0.7899,0.87945,0.82897,0.86679,0.77548,0.4362,1.42457,0.53768,0.95907,0.000364,0.000364,0.000364
148,11605.5,0.42927,0.94059,0.33231,0.94792,0.88321,0.83116,0.8744,0.79015,0.88108,0.82883,0.86683,0.77511,0.43589,1.42479,0.53713,0.95881,0.000298,0.000298,0.000298
149,11681.5,0.41702,0.9046,0.31932,0.94048,0.88291,0.83065,0.87438,0.79051,0.88086,0.82577,0.86678,0.77513,0.43575,1.4251,0.53673,0.95863,0.000232,0.000232,0.000232
150,11757.8,0.41032,0.90258,0.3143,0.93836,0.88287,0.82883,0.8748,0.79099,0.88144,0.82523,0.86715,0.77539,0.43543,1.4254,0.53642,0.95828,0.000166,0.000166,0.000166
